Longitude,Latitude,Anomaly_Score,eTh_Raw,RTP_Raw
362676.99599322473,4302692.058330265,-0.046536824854130354,249,253.30278
359626.99599322473,4305192.058330265,-0.04520630841485118,249,253.30278
367176.99599322473,4301642.058330265,-0.04476340273628787,249,253.4394
362726.99599322473,4302692.058330265,-0.04476340273628787,249,253.86337
362476.99599322473,4302742.058330265,-0.04476340273628787,249,253.13881
365126.99599322473,4301942.058330265,-0.04432079662029398,249,253.30278
375426.99599322473,4251042.058330265,-0.04432079662029398,249,252.45956
336426.99599322473,4268492.058330265,-0.04387848986425835,249,253.30278
362576.99599322473,4302642.058330265,-0.04387848986425835,249,253.6994
343476.99599322473,4284442.058330265,-0.04387848986425835,249,252.45956
310826.99599322473,4264592.058330265,-0.04343648226570662,249,253.15678
383926.99599322473,4278942.058330265,-0.04343648226570662,249,253.15678
336376.99599322473,4268542.058330265,-0.04343648226570662,249,253.15678
322926.99599322473,4269942.058330265,-0.04299477362230131,249,252.45956
397076.99599322473,4283342.058330265,-0.04299477362230131,249,252.5962
381726.99599322473,4288342.058330265,-0.04299477362230131,249,252.45956
334576.99599322473,4303142.058330265,-0.042913651956340004,249,250.54044
366026.99599322473,4301892.058330265,-0.04264488422499413,249,253.30278
345526.99599322473,4283392.058330265,-0.04264488422499413,249,253.4394
379326.99599322473,4265742.058330265,-0.042601245564300005,249,253.30278
375426.99599322473,4251092.058330265,-0.042601245564300005,249,253.86337
381476.99599322473,4277292.058330265,-0.042601245564300005,249,253.30278
369876.99599322473,4300292.058330265,-0.04255336373184182,249,252.45956
358176.99599322473,4309842.058330265,-0.04220371098484654,249,253.15678
367776.99599322473,4301192.058330265,-0.04216010183948704,249,253.13881
344676.99599322473,4283092.058330265,-0.04211225239226457,249,252.5962
370226.99599322473,4301392.058330265,-0.041671439401642196,249,252.63007
337826.99599322473,4267992.058330265,-0.041671439401642196,249,252.45956
381226.99599322473,4277492.058330265,-0.041671439401642196,249,253.02016
330976.99599322473,4274842.058330265,-0.041671439401642196,249,253.86337
380576.99599322473,4286542.058330265,-0.04158998688219506,249,251.9235
356576.99599322473,4311192.058330265,-0.041580055491546974,249,250.54044
363176.99599322473,4303642.058330265,-0.04129402862802034,244,253.15678
375376.99599322473,4251142.058330265,-0.041139602456280455,249,250.54044
362626.99599322473,4302692.058330265,-0.040441999914968774,249,252.5962
362626.99599322473,4302592.058330265,-0.040441999914968774,249,253.00218
330776.99599322473,4274992.058330265,-0.040441999914968774,249,253.02016
397676.99599322473,4288042.058330265,-0.04041380724316612,249,249.0
375326.99599322473,4251142.058330265,-0.04039850863145389,249,253.02016
362176.99599322473,4305442.058330265,-0.04039850863145389,249,253.02016
327526.99599322473,4268092.058330265,-0.04039850863145389,249,252.45956
358276.99599322473,4304492.058330265,-0.04039850863145389,249,252.63007
338826.99599322473,4262342.058330265,-0.040318226004393165,249,253.86337
362676.99599322473,4254292.058330265,-0.040259589895375814,249,250.54044
376726.99599322473,4280692.058330265,-0.040259589895375814,249,248.3273
395776.99599322473,4277592.058330265,-0.040259589895375814,249,250.54044
397426.99599322473,4283792.058330265,-0.04006752224253962,249,253.15678
317476.99599322473,4270142.058330265,-0.03997636337643573,249,253.86337
353726.99599322473,4313342.058330265,-0.03966363778268067,249,247.82419
315976.99599322473,4241192.058330265,-0.03950959840528778,249,247.46611
384876.99599322473,4287442.058330265,-0.039471842624961284,249,252.45956
384926.99599322473,4287392.058330265,-0.039471842624961284,249,252.45956
330726.99599322473,4275092.058330265,-0.039471842624961284,249,253.02016
361576.99599322473,4301692.058330265,-0.039471842624961284,249,252.45956
337226.99599322473,4278692.058330265,-0.039391158859293895,249,248.16333
321126.99599322473,4291892.058330265,-0.03938076733806106,249,248.83604
379226.99599322473,4266542.058330265,-0.03938076733806106,249,248.54874
365176.99599322473,4301992.058330265,-0.03938076733806106,249,249.97984
362676.99599322473,4303542.058330265,-0.03938076733806106,244,253.30278
390326.99599322473,4291042.058330265,-0.03903281549524118,249,250.54044
381576.99599322473,4278742.058330265,-0.039006900991576,238,253.30278
365276.99599322473,4303292.058330265,-0.038952186300642344,249,249.0
382926.99599322473,4271642.058330265,-0.03894180180779261,249,248.83604
365076.99599322473,4301942.058330265,-0.03865914958737193,238,253.30278
367826.99599322473,4301142.058330265,-0.038503133175144866,249,249.5606
313726.99599322473,4266792.058330265,-0.038503133175144866,244,253.30278
366826.99599322473,4254592.058330265,-0.038503133175144866,249,249.0
362626.99599322473,4303892.058330265,-0.038503133175144866,244,253.56277
326576.99599322473,4260192.058330265,-0.038503133175144866,249,248.54874
396126.99599322473,4281742.058330265,-0.038503133175144866,244,253.30278
315926.99599322473,4241242.058330265,-0.038503133175144866,244,252.29561
336326.99599322473,4268692.058330265,-0.038503133175144866,249,249.97984
358476.99599322473,4313292.058330265,-0.038503133175144866,249,248.54874
367726.99599322473,4301192.058330265,-0.0381231993215263,249,251.18567
344626.99599322473,4241792.058330265,-0.03807513168965049,244,252.45956
395676.99599322473,4277692.058330265,-0.03806476123930913,249,250.54044
344726.99599322473,4264192.058330265,-0.03806476123930913,249,248.83604
395876.99599322473,4281942.058330265,-0.03806476123930913,249,247.98814
336176.99599322473,4268892.058330265,-0.03806476123930913,249,248.54874
362326.99599322473,4304292.058330265,-0.03806476123930913,249,247.98814
380726.99599322473,4276292.058330265,-0.03806476123930913,249,250.54044
392476.99599322473,4282392.058330265,-0.03806476123930913,249,248.83604
334126.99599322473,4269242.058330265,-0.03806476123930902,244,253.02016
329326.99599322473,4269142.058330265,-0.03806476123930902,244,252.45956
376126.99599322473,4246042.058330265,-0.03778249123747479,249,252.32948
379226.99599322473,4265692.058330265,-0.03775516867686424,249,247.82419
379626.99599322473,4285442.058330265,-0.03770201745817092,238,251.16508
324776.99599322473,4281642.058330265,-0.03763896595046112,249,66.8635
327876.99599322473,4281292.058330265,-0.03763896595046112,249,66.37638
315126.99599322473,4267292.058330265,-0.037626685799612036,249,249.0
316026.99599322473,4241242.058330265,-0.037626685799612036,249,249.1705
340726.99599322473,4262392.058330265,-0.037626685799612036,249,249.13663
391326.99599322473,4292592.058330265,-0.037626685799612036,249,249.0
374526.99599322473,4298342.058330265,-0.037626685799612036,249,248.83604
399226.99599322473,4280892.058330265,-0.037626685799612036,249,249.0
358476.99599322473,4313242.058330265,-0.037626685799612036,244,253.02016
392976.99599322473,4275542.058330265,-0.037626685799612036,249,249.0
338326.99599322473,4242942.058330265,-0.037626685799612036,249,248.16333
399276.99599322473,4280842.058330265,-0.037626685799612036,249,249.0
391326.99599322473,4292642.058330265,-0.037626685799612036,249,249.0
394376.99599322473,4284742.058330265,-0.037626685799612036,249,249.0
395926.99599322473,4281942.058330265,-0.037626685799612036,249,249.0
381976.99599322473,4287392.058330265,-0.037626685799612036,249,249.0
335976.99599322473,4261892.058330265,-0.0373446067132055,249,250.98315
377226.99599322473,4282792.058330265,-0.037253829896620516,238,252.46611
391676.99599322473,4248692.058330265,-0.03720117850059357,249,66.103226
320876.99599322473,4239042.058330265,-0.03718890665551644,249,249.0
369976.99599322473,4300392.058330265,-0.03718890665551644,249,249.69722
393326.99599322473,4292142.058330265,-0.03718890665551644,249,248.3273
332926.99599322473,4273392.058330265,-0.03718890665551644,249,249.0
369226.99599322473,4297642.058330265,-0.03718890665551644,249,248.0267
345326.99599322473,4283442.058330265,-0.03718890665551644,249,249.69722
378526.99599322473,4266792.058330265,-0.03718890665551644,249,249.0
365126.99599322473,4303292.058330265,-0.03718890665551644,249,249.0
365176.99599322473,4303342.058330265,-0.03718890665551644,249,249.0
362776.99599322473,4305092.058330265,-0.03718890665551644,249,249.0
365226.99599322473,4303292.058330265,-0.03718890665551644,249,249.0
379226.99599322473,4266592.058330265,-0.036879732741937565,249,247.82419
392426.99599322473,4282592.058330265,-0.036879732741937565,249,247.82419
367776.99599322473,4301142.058330265,-0.036879732741937565,249,247.52359
346226.99599322473,4262092.058330265,-0.036879732741937565,249,247.82419
364326.99599322473,4303292.058330265,-0.03679887947587768,249,248.3273
345226.99599322473,4241492.058330265,-0.03679887947587768,249,248.3273
411276.99599322473,4273442.058330265,-0.03676368715154332,249,70.0
377876.99599322473,4286542.058330265,-0.036751423606620426,244,253.4394
352676.99599322473,4247992.058330265,-0.036751423606620426,249,248.83604
343976.99599322473,4284292.058330265,-0.036751423606620426,249,249.0
377526.99599322473,4272542.058330265,-0.036751423606620426,244,253.02016
378676.99599322473,4267042.058330265,-0.036751423606620426,249,247.98814
344426.99599322473,4264142.058330265,-0.036751423606620426,249,248.0267
391776.99599322473,4249192.058330265,-0.0366988131024133,249,55.857788
402826.99599322473,4247342.058330265,-0.0366988131024133,249,56.39833
391476.99599322473,4270392.058330265,-0.036693423994084484,249,248.3273
328226.99599322473,4289742.058330265,-0.036670586386969184,249,248.16333
362626.99599322473,4302642.058330265,-0.03637907190082201,249,250.54044
381026.99599322473,4285992.058330265,-0.036326491703040475,249,67.513916
397176.99599322473,4283442.058330265,-0.036314236452657855,249,249.0
367176.99599322473,4256592.058330265,-0.036314236452657855,249,249.0
